Year,linux-foundation.org,kernel.org,davemloft.net,woody.linux-foundation.org,g5.osdl.org,linaro.org,arndb.de,redhat.com,lixom.net,elte.hu,suse.de,intel.com,linuxfoundation.org,garzik.org,opensource.wolfsonmicro.com,pobox.com,tuxdriver.com,ppc970.osdl.org,google.com,codeaurora.org
2005,0,0,0,0,463,0,0,4,0,0,3,123,0,0,0,220,0,144,0,0
2006,0,0,0,0,832,0,0,36,0,0,34,91,0,236,0,63,33,0,0,0
2007,5,0,0,1216,0,0,0,1,0,0,0,140,0,43,0,0,1,0,0,0
2008,1486,0,189,229,0,0,0,1,0,396,66,120,0,16,0,0,1,0,0,0
2009,1949,6,196,0,0,0,1,26,0,401,361,153,0,0,73,0,2,0,0,0
2010,1759,7,199,0,0,1,0,85,0,162,214,97,0,0,71,0,67,0,0,2
2011,1914,18,244,0,0,1,153,77,48,164,178,64,0,0,166,0,135,0,0,9
2012,2103,159,266,0,0,25,361,159,420,43,97,86,136,1,233,0,159,0,59,0
2013,1915,166,455,0,0,739,196,230,452,0,80,316,174,0,228,0,208,0,83,1
2014,1997,333,808,0,0,455,302,326,347,0,90,303,143,0,0,0,164,0,63,1
2015,1908,723,933,0,0,87,252,361,342,0,102,217,150,0,0,0,0,0,33,77
2016,2138,579,1087,0,0,47,371,450,266,0,60,278,149,0,0,0,0,0,62,122
2017,2195,484,1336,0,0,48,354,446,303,0,66,255,151,0,0,0,0,0,137,122
2018,2074,681,1325,0,0,56,227,402,404,0,59,201,276,0,0,0,0,0,113,58
2019,2266,439,1189,0,0,84,218,332,348,0,71,175,172,0,0,0,0,0,119,41
2020,2515,1030,1103,0,0,90,396,352,213,0,76,193,212,0,0,0,0,0,129,37
2021,2281,1155,1012,0,0,66,443,357,88,0,81,189,202,0,0,0,0,0,136,26
2022,2515,1476,543,0,0,66,522,466,2,0,90,193,146,0,0,0,0,0,135,0
2023,2388,1568,425,0,0,80,514,497,0,0,94,197,136,0,0,0,0,0,103,0
2024,1893,1006,193,0,0,45,257,409,0,0,60,143,85,0,0,0,0,0,90,0
