ISO Week,linux,linux_merges
2001-01,0,0
2001-02,0,0
2001-03,0,0
2001-04,0,0
2001-05,0,0
2001-06,0,0
2001-07,0,0
2001-08,0,0
2001-09,0,0
2001-10,0,0
2001-11,0,0
2001-12,0,0
2001-13,0,0
2001-14,0,0
2001-15,0,0
2001-16,0,0
2001-17,0,0
2001-18,0,0
2001-19,0,0
2001-20,0,0
2001-21,0,0
2001-22,0,0
2001-23,0,0
2001-24,0,0
2001-25,0,0
2001-26,0,0
2001-27,0,0
2001-28,0,0
2001-29,0,0
2001-30,0,0
2001-31,0,0
2001-32,0,0
2001-33,0,0
2001-34,0,0
2001-35,0,0
2001-36,0,0
2001-37,0,0
2001-38,2,0
2001-39,0,0
2001-40,0,0
2001-41,0,0
2001-42,0,0
2001-43,0,0
2001-44,0,0
2001-45,0,0
2001-46,0,0
2001-47,0,0
2001-48,0,0
2001-49,0,0
2001-50,0,0
2001-51,0,0
2001-52,0,0
2002-01,0,0
2002-02,0,0
2002-03,0,0
2002-04,0,0
2002-05,0,0
2002-06,0,0
2002-07,0,0
2002-08,0,0
2002-09,0,0
2002-10,0,0
2002-11,0,0
2002-12,0,0
2002-13,0,0
2002-14,0,0
2002-15,12,0
2002-16,0,0
2002-17,0,0
2002-18,0,0
2002-19,0,0
2002-20,0,0
2002-21,0,0
2002-22,0,0
2002-23,0,0
2002-24,0,0
2002-25,0,0
2002-26,0,0
2002-27,0,0
2002-28,0,0
2002-29,0,0
2002-30,0,0
2002-31,0,0
2002-32,0,0
2002-33,0,0
2002-34,0,0
2002-35,0,0
2002-36,0,0
2002-37,0,0
2002-38,0,0
2002-39,0,0
2002-40,0,0
2002-41,0,0
2002-42,0,0
2002-43,0,0
2002-44,0,0
2002-45,0,0
2002-46,0,0
2002-47,0,0
2002-48,0,0
2002-49,0,0
2002-50,0,0
2002-51,0,0
2002-52,0,0
2003-01,0,0
2003-02,0,0
2003-03,0,0
2003-04,0,0
2003-05,0,0
2003-06,0,0
2003-07,0,0
2003-08,1,0
2003-09,0,0
2003-10,0,0
2003-11,0,0
2003-12,0,0
2003-13,0,0
2003-14,0,0
2003-15,0,0
2003-16,0,0
2003-17,0,0
2003-18,0,0
2003-19,0,0
2003-20,0,0
2003-21,0,0
2003-22,0,0
2003-23,0,0
2003-24,0,0
2003-25,0,0
2003-26,0,0
2003-27,0,0
2003-28,0,0
2003-29,0,0
2003-30,0,0
2003-31,0,0
2003-32,0,0
2003-33,0,0
2003-34,0,0
2003-35,0,0
2003-36,0,0
2003-37,0,0
2003-38,0,0
2003-39,0,0
2003-40,0,0
2003-41,0,0
2003-42,0,0
2003-43,0,0
2003-44,0,0
2003-45,0,0
2003-46,0,0
2003-47,0,0
2003-48,0,0
2003-49,0,0
2003-50,0,0
2003-51,0,0
2003-52,0,0
2004-01,0,0
2004-02,0,0
2004-03,0,0
2004-04,0,0
2004-05,0,0
2004-06,0,0
2004-07,0,0
2004-08,0,0
2004-09,0,0
2004-10,0,0
2004-11,0,0
2004-12,0,0
2004-13,0,0
2004-14,0,0
2004-15,0,0
2004-16,0,0
2004-17,0,0
2004-18,0,0
2004-19,0,0
2004-20,0,0
2004-21,0,0
2004-22,0,0
2004-23,0,0
2004-24,0,0
2004-25,0,0
2004-26,0,0
2004-27,0,0
2004-28,0,0
2004-29,0,0
2004-30,0,0
2004-31,1,0
2004-32,0,0
2004-33,0,0
2004-34,1,0
2004-35,0,0
2004-36,0,0
2004-37,0,0
2004-38,1,0
2004-39,0,0
2004-40,0,0
2004-41,0,0
2004-42,0,0
2004-43,0,0
2004-44,0,0
2004-45,0,0
2004-46,3,0
2004-47,5,0
2004-48,0,0
2004-49,1,0
2004-50,2,0
2004-51,0,0
2004-52,1,0
2004-53,2,0
2005-01,1,0
2005-02,6,0
2005-03,11,0
2005-04,10,0
2005-05,24,0
2005-06,26,0
2005-07,30,0
2005-08,19,0
2005-09,28,0
2005-10,12,0
2005-11,44,0
2005-12,67,0
2005-13,57,0
2005-14,73,0
2005-15,287,1
2005-16,248,11
2005-17,501,12
2005-18,323,22
2005-19,168,1
2005-20,287,20
2005-21,306,46
2005-22,215,42
2005-23,162,23
2005-24,215,22
2005-25,1163,53
2005-26,486,43
2005-27,456,18
2005-28,280,34
2005-29,118,9
2005-30,631,36
2005-31,271,21
2005-32,407,27
2005-33,330,28
2005-34,354,26
2005-35,571,57
2005-36,1053,78
2005-37,558,40
2005-38,432,25
2005-39,374,22
2005-40,269,30
2005-41,332,22
2005-42,429,30
2005-43,868,95
2005-44,623,56
2005-45,1370,102
2005-46,641,61
2005-47,255,15
2005-48,431,48
2005-49,220,16
2005-50,366,44
2005-51,206,27
2005-52,86,7
2006-01,1020,42
2006-02,1389,57
2006-03,595,38
2006-04,332,19
2006-05,712,45
2006-06,466,53
2006-07,374,28
2006-08,313,31
2006-09,463,41
2006-10,374,27
2006-11,351,14
2006-12,1676,89
2006-13,1066,62
2006-14,259,6
2006-15,508,30
2006-16,381,39
2006-17,396,29
2006-18,296,23
2006-19,223,17
2006-20,466,31
2006-21,381,33
2006-22,305,10
2006-23,353,23
2006-24,378,31
2006-25,1139,66
2006-26,1386,66
2006-27,475,31
2006-28,507,32
2006-29,172,7
2006-30,356,25
2006-31,311,40
2006-32,401,23
2006-33,302,16
2006-34,526,21
2006-35,428,20
2006-36,247,9
2006-37,330,37
