ISO Week,blink_combined,WebKit
2001-34,12,12
2001-35,55,55
2001-36,48,48
2001-37,12,12
2001-38,44,44
2001-39,58,58
2001-40,67,67
2001-41,21,21
2001-42,57,57
2001-43,12,12
2001-44,15,15
2001-45,36,36
2001-46,22,22
2001-47,5,5
2001-48,3,3
2001-49,11,11
2001-50,22,22
2001-51,18,18
2001-52,0,0
2002-01,0,0
2002-02,11,11
2002-03,16,16
2002-04,5,5
2002-05,31,31
2002-06,22,22
2002-07,22,22
2002-08,31,31
2002-09,17,17
2002-10,37,37
2002-11,30,30
2002-12,42,42
2002-13,65,65
2002-14,62,62
2002-15,17,17
2002-16,35,35
2002-17,28,28
2002-18,13,13
2002-19,35,35
2002-20,38,38
2002-21,37,37
2002-22,36,36
2002-23,51,51
2002-24,61,61
2002-25,31,31
2002-26,53,53
2002-27,40,40
2002-28,35,35
2002-29,61,61
2002-30,65,65
2002-31,42,42
2002-32,65,65
2002-33,62,62
2002-34,51,51
2002-35,35,35
2002-36,47,47
2002-37,72,72
2002-38,46,46
2002-39,84,84
2002-40,59,59
2002-41,48,48
2002-42,72,72
2002-43,99,99
2002-44,59,59
2002-45,71,71
2002-46,102,102
2002-47,129,129
2002-48,48,48
2002-49,65,65
2002-50,93,93
2002-51,96,96
2002-52,32,32
2003-01,46,46
2003-02,29,29
2003-03,41,41
2003-04,91,91
2003-05,75,75
2003-06,46,46
2003-07,22,22
2003-08,35,35
2003-09,31,31
2003-10,64,64
2003-11,43,43
2003-12,46,46
2003-13,59,59
2003-14,63,63
2003-15,46,46
2003-16,45,45
2003-17,47,47
2003-18,68,68
2003-19,61,61
2003-20,38,38
2003-21,29,29
2003-22,31,31
2003-23,34,34
2003-24,53,53
2003-25,4,4
2003-26,3,3
2003-27,16,16
2003-28,38,38
2003-29,20,20
2003-30,37,37
2003-31,42,42
2003-32,37,37
2003-33,31,31
2003-34,48,48
2003-35,36,36
2003-36,30,30
2003-37,25,25
2003-38,23,23
2003-39,47,47
2003-40,61,61
2003-41,31,31
2003-42,42,42
2003-43,46,46
2003-44,87,87
2003-45,70,70
2003-46,70,70
2003-47,68,68
2003-48,0,0
2003-49,42,42
2003-50,75,75
2003-51,36,36
2003-52,12,12
2004-01,0,0
