ISO Week,Commits/week
2001-01,0
2001-02,0
2001-03,0
2001-04,0
2001-05,0
2001-06,0
2001-07,0
2001-08,0
2001-09,0
2001-10,0
2001-11,0
2001-12,0
2001-13,0
2001-14,0
2001-15,0
2001-16,0
2001-17,0
2001-18,0
2001-19,0
2001-20,0
2001-21,0
2001-22,0
2001-23,0
2001-24,0
2001-25,0
2001-26,0
2001-27,0
2001-28,0
2001-29,0
2001-30,0
2001-31,0
2001-32,0
2001-33,0
2001-34,0
2001-35,0
2001-36,0
2001-37,0
2001-38,2
2001-39,0
2001-40,0
2001-41,0
2001-42,0
2001-43,0
2001-44,0
2001-45,0
2001-46,0
2001-47,0
2001-48,0
2001-49,0
2001-50,0
2001-51,0
2001-52,0
2002-01,0
2002-02,0
2002-03,0
2002-04,0
2002-05,0
2002-06,0
2002-07,0
2002-08,0
2002-09,0
2002-10,0
2002-11,0
2002-12,0
2002-13,0
2002-14,0
2002-15,12
2002-16,0
2002-17,0
2002-18,0
2002-19,0
2002-20,0
2002-21,0
2002-22,0
2002-23,0
2002-24,0
2002-25,0
2002-26,0
2002-27,0
2002-28,0
2002-29,0
2002-30,0
2002-31,0
2002-32,0
2002-33,0
2002-34,0
2002-35,0
2002-36,0
2002-37,0
2002-38,0
2002-39,0
2002-40,0
2002-41,0
2002-42,0
2002-43,0
2002-44,0
2002-45,0
2002-46,0
2002-47,0
2002-48,0
2002-49,0
2002-50,0
2002-51,0
2002-52,0
2003-01,0
2003-02,0
2003-03,0
2003-04,0
2003-05,0
2003-06,0
2003-07,0
2003-08,1
2003-09,0
2003-10,0
2003-11,0
2003-12,0
2003-13,0
2003-14,0
2003-15,0
2003-16,0
2003-17,0
2003-18,0
2003-19,0
2003-20,0
2003-21,0
2003-22,0
2003-23,0
2003-24,0
2003-25,0
2003-26,0
2003-27,0
2003-28,0
2003-29,0
2003-30,0
2003-31,0
2003-32,0
2003-33,0
2003-34,0
2003-35,0
2003-36,0
2003-37,0
2003-38,0
2003-39,0
2003-40,0
2003-41,0
2003-42,0
2003-43,0
2003-44,0
2003-45,0
2003-46,0
2003-47,0
2003-48,0
2003-49,0
2003-50,0
2003-51,0
2003-52,0
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2004-13,0
2004-14,0
2004-15,0
2004-16,0
2004-17,0
2004-18,0
2004-19,0
2004-20,0
2004-21,0
2004-22,0
2004-23,0
2004-24,0
2004-25,0
2004-26,0
2004-27,0
2004-28,0
2004-29,0
2004-30,0
2004-31,1
2004-32,0
2004-33,0
2004-34,1
2004-35,0
2004-36,0
2004-37,0
2004-38,1
2004-39,0
2004-40,0
2004-41,0
2004-42,0
2004-43,0
2004-44,0
2004-45,0
2004-46,3
2004-47,5
2004-48,0
2004-49,1
2004-50,2
2004-51,0
2004-52,1
2004-53,2
2005-01,1
2005-02,6
2005-03,11
2005-04,10
2005-05,24
2005-06,26
2005-07,30
2005-08,19
2005-09,28
2005-10,12
2005-11,44
2005-12,67
2005-13,57
2005-14,73
2005-15,287
2005-16,248
2005-17,501
2005-18,323
2005-19,168
2005-20,287
2005-21,306
2005-22,215
2005-23,162
2005-24,215
2005-25,1163
2005-26,486
2005-27,456
2005-28,280
2005-29,118
2005-30,631
2005-31,271
2005-32,407
2005-33,330
2005-34,354
2005-35,571
2005-36,1053
2005-37,558
2005-38,432
2005-39,374
2005-40,269
2005-41,332
2005-42,429
2005-43,868
2005-44,623
2005-45,1370
2005-46,641
2005-47,255
2005-48,431
2005-49,220
2005-50,366
2005-51,206
2005-52,86
2006-01,1020
2006-02,1389
2006-03,595
2006-04,332
2006-05,712
2006-06,466
2006-07,374
2006-08,313
2006-09,463
2006-10,374
2006-11,351
2006-12,1676
2006-13,1066
2006-14,259
2006-15,508
2006-16,381
2006-17,396
2006-18,296
2006-19,223
2006-20,466
2006-21,381
2006-22,305
2006-23,353
2006-24,378
2006-25,1139
2006-26,1386
2006-27,475
2006-28,507
2006-29,172
2006-30,356
2006-31,311
2006-32,401
2006-33,302
2006-34,526
2006-35,428
2006-36,247
2006-37,330
2006-38,579
2006-39,1673
2006-40,974
2006-41,600
2006-42,546
2006-43,352
2006-44,386
2006-45,404
2006-46,423
2006-47,456
2006-48,482
2006-49,1668
2006-50,549
2006-51,338
2006-52,165
2007-01,279
2007-02,316
2007-03,253
2007-04,466
2007-05,520
2007-06,1012
2007-07,1091
2007-08,442
2007-09,441
2007-10,653
2007-11,519
2007-12,504
2007-13,443
2007-14,226
2007-15,328
2007-16,326
2007-17,664
2007-18,1000
2007-19,1552
2007-20,499
2007-21,641
2007-22,455
2007-23,453
2007-24,523
2007-25,381
2007-26,346
2007-27,384
2007-28,1131
2007-29,1674
2007-30,693
2007-31,721
2007-32,609
2007-33,407
2007-34,618
2007-35,423
2007-36,314
2007-37,546
2007-38,522
2007-39,518
2007-40,542
2007-41,1186
2007-42,2446
2007-43,845
2007-44,646
2007-45,684
2007-46,631
2007-47,700
2007-48,693
2007-49,644
2007-50,764
2007-51,796
2007-52,251
2008-01,309
2008-02,675
2008-03,561
2008-04,1156
2008-05,2231
2008-06,2002
2008-07,717
2008-08,756
2008-09,616
2008-10,837
2008-11,479
2008-12,838
2008-13,810
2008-14,639
2008-15,753
2008-16,1199
2008-17,1404
2008-18,1873
2008-19,605
2008-20,1031
2008-21,948
2008-22,626
2008-23,581
2008-24,746
2008-25,676
2008-26,865
2008-27,831
2008-28,1001
2008-29,1392
2008-30,1872
2008-31,969
2008-32,679
2008-33,803
2008-34,878
2008-35,689
2008-36,1062
2008-37,766
2008-38,457
2008-39,676
2008-40,572
2008-41,1022
2008-42,1570
2008-43,919
2008-44,1089
2008-45,748
2008-46,984
2008-47,1029
2008-48,987
2008-49,912
2008-50,920
2008-51,1063
2008-52,668
2009-01,854
2009-02,1883
2009-03,936
2009-04,926
2009-05,1112
2009-06,969
2009-07,1118
2009-08,972
2009-09,920
2009-10,1030
2009-11,1000
2009-12,1125
2009-13,1525
2009-14,1643
2009-15,1031
2009-16,1020
2009-17,1036
2009-18,992
2009-19,747
2009-20,925
2009-21,743
2009-22,857
2009-23,916
2009-24,1413
2009-25,1473
2009-26,916
2009-27,817
2009-28,750
2009-29,761
2009-30,709
2009-31,900
2009-32,972
2009-33,869
2009-34,945
2009-35,953
2009-36,852
2009-37,796
2009-38,1149
2009-39,1424
2009-40,647
2009-41,928
2009-42,965
2009-43,669
2009-44,813
2009-45,1019
2009-46,911
2009-47,1118
2009-48,901
2009-49,1193
2009-50,1349
2009-51,1559
2009-52,630
2009-53,377
2010-01,1001
2010-02,930
2010-03,894
2010-04,828
2010-05,881
2010-06,876
2010-07,1097
2010-08,1094
2010-09,1059
2010-10,1036
2010-11,973
2010-12,908
2010-13,828
2010-14,738
2010-15,776
2010-16,761
2010-17,1031
2010-18,1102
2010-19,1133
2010-20,1324
2010-21,1232
2010-22,941
2010-23,774
2010-24,708
2010-25,699
2010-26,685
2010-27,785
2010-28,691
2010-29,987
2010-30,1078
2010-31,1236
2010-32,1267
2010-33,861
2010-34,866
2010-35,857
2010-36,943
2010-37,947
2010-38,944
2010-39,1118
2010-40,1204
2010-41,1053
2010-42,1136
2010-43,1556
2010-44,708
2010-45,954
2010-46,1064
2010-47,877
2010-48,1112
2010-49,1046
2010-50,930
2010-51,819
2010-52,441
2011-01,1108
2011-02,1629
2011-03,991
2011-04,1055
2011-05,1084
2011-06,1080
2011-07,1063
2011-08,1307
2011-09,1146
2011-10,1229
2011-11,1086
2011-12,1508
2011-13,1019
2011-14,967
2011-15,899
2011-16,962
2011-17,911
2011-18,1121
2011-19,1368
2011-20,1228
2011-21,1658
2011-22,980
2011-23,1094
2011-24,1093
2011-25,1007
2011-26,1134
2011-27,1402
2011-28,1065
2011-29,1374
2011-30,1203
2011-31,891
2011-32,996
2011-33,754
2011-34,1211
2011-35,1015
2011-36,672
2011-37,776
2011-38,868
2011-39,892
2011-40,903
2011-41,1142
2011-42,846
2011-43,913
2011-44,1242
2011-45,1079
2011-46,1134
2011-47,1158
2011-48,1088
2011-49,1058
2011-50,1254
2011-51,1048
2011-52,656
2012-01,863
2012-02,1287
2012-03,1059
2012-04,866
2012-05,989
2012-06,1146
2012-07,1047
2012-08,1099
2012-09,1042
2012-10,1532
2012-11,1202
2012-12,1247
2012-13,1233
2012-14,1022
2012-15,1160
2012-16,1368
2012-17,1439
2012-18,1222
2012-19,1834
2012-20,1582
2012-21,1164
2012-22,1247
2012-23,1180
2012-24,1204
2012-25,1224
2012-26,1365
2012-27,1236
2012-28,1406
2012-29,1326
2012-30,1077
2012-31,1252
2012-32,1126
2012-33,1179
2012-34,1198
2012-35,861
2012-36,1465
2012-37,1612
2012-38,1571
2012-39,1183
2012-40,1298
2012-41,1361
2012-42,1234
2012-43,1557
2012-44,1442
2012-45,1256
2012-46,1495
2012-47,1711
2012-48,1400
2012-49,1123
2012-50,1414
2012-51,1382
2012-52,511
2013-01,786
2013-02,1151
2013-03,1357
2013-04,1632
2013-05,1423
2013-06,1333
2013-07,1259
2013-08,1316
2013-09,1300
2013-10,1498
2013-11,1514
2013-12,1733
2013-13,1479
2013-14,1441
2013-15,1654
2013-16,1335
2013-17,1229
2013-18,1577
2013-19,1183
2013-20,1367
2013-21,1328
2013-22,1325
2013-23,1452
2013-24,1332
2013-25,1436
2013-26,1362
2013-27,1496
2013-28,1050
2013-29,994
2013-30,1330
2013-31,1297
2013-32,1425
2013-33,1296
2013-34,1433
2013-35,1541
2013-36,1135
2013-37,1498
2013-38,1246
2013-39,1518
2013-40,1450
2013-41,1564
2013-42,1651
2013-43,1102
2013-44,1383
2013-45,1298
2013-46,1558
2013-47,1107
2013-48,1213
2013-49,1476
2013-50,1665
2013-51,1699
2013-52,633
2014-01,775
2014-02,1358
2014-03,1311
2014-04,1454
2014-05,1166
2014-06,1315
2014-07,1631
2014-08,1804
2014-09,1783
2014-10,1743
2014-11,1721
2014-12,1390
2014-13,1173
2014-14,1456
2014-15,1299
2014-16,1444
2014-17,1599
2014-18,1152
2014-19,1495
2014-20,1634
2014-21,1751
2014-22,1613
2014-23,1772
2014-24,1244
2014-25,1291
2014-26,1391
2014-27,1297
2014-28,1796
2014-29,1775
2014-30,1532
2014-31,1407
2014-32,1771
2014-33,988
2014-34,1229
2014-35,1398
2014-36,1712
2014-37,1686
2014-38,1322
2014-39,1456
2014-40,1510
2014-41,1262
2014-42,1106
2014-43,1861
2014-44,1670
2014-45,1870
2014-46,1577
2014-47,1678
2014-48,1312
2014-49,1392
2014-50,1517
2014-51,1063
2014-52,554
2015-01,698
2015-02,1358
2015-03,1673
2015-04,1608
2015-05,1484
2015-06,1300
2015-07,1508
2015-08,1104
2015-09,1631
2015-10,1634
2015-11,1649
2015-12,1543
2015-13,1642
2015-14,1566
2015-15,1180
2015-16,1565
2015-17,1149
2015-18,1634
2015-19,1489
2015-20,1440
2015-21,1574
2015-22,1474
2015-23,1679
2015-24,1474
2015-25,1540
2015-26,1326
2015-27,1015
2015-28,1327
2015-29,1499
2015-30,1337
2015-31,1701
2015-32,1437
2015-33,1246
2015-34,1537
2015-35,1131
2015-36,1312
2015-37,1181
2015-38,1616
2015-39,1602
2015-40,1747
2015-41,1560
2015-42,2068
2015-43,1597
2015-44,1507
2015-45,1779
2015-46,1125
2015-47,1639
2015-48,1120
2015-49,1604
2015-50,1500
2015-51,1413
2015-52,1167
2015-53,800
2016-01,1303
2016-02,1553
2016-03,1319
2016-04,1491
2016-05,1569
2016-06,1752
2016-07,1830
2016-08,2126
2016-09,1747
2016-10,1436
2016-11,1492
2016-12,1306
2016-13,1279
2016-14,1454
2016-15,1514
2016-16,1452
2016-17,1810
2016-18,1418
2016-19,1370
2016-20,1517
