ISO Week,Commits/week
2005-15,1
2005-16,11
2005-17,12
2005-18,22
2005-19,1
2005-20,20
2005-21,46
2005-22,42
2005-23,23
2005-24,22
2005-25,53
2005-26,43
2005-27,18
2005-28,34
2005-29,9
2005-30,36
2005-31,21
2005-32,27
2005-33,28
2005-34,26
2005-35,57
2005-36,78
2005-37,40
2005-38,25
2005-39,22
2005-40,30
2005-41,22
2005-42,30
2005-43,95
2005-44,56
2005-45,102
2005-46,61
2005-47,15
2005-48,48
2005-49,16
2005-50,44
2005-51,27
2005-52,7
2006-01,42
2006-02,57
2006-03,38
2006-04,19
2006-05,45
2006-06,53
2006-07,28
2006-08,31
2006-09,41
2006-10,27
2006-11,14
2006-12,89
2006-13,62
2006-14,6
2006-15,30
2006-16,39
2006-17,29
2006-18,23
2006-19,17
2006-20,31
2006-21,33
2006-22,10
2006-23,23
2006-24,31
2006-25,66
2006-26,66
2006-27,31
2006-28,32
2006-29,7
2006-30,25
2006-31,40
2006-32,23
2006-33,16
2006-34,21
2006-35,20
2006-36,9
2006-37,37
2006-38,45
2006-39,46
2006-40,46
2006-41,29
2006-42,29
2006-43,24
2006-44,21
2006-45,13
2006-46,17
2006-47,9
2006-48,29
2006-49,46
2006-50,35
2006-51,19
2006-52,8
2007-01,12
2007-02,20
2007-03,1
2007-04,31
2007-05,31
2007-06,50
2007-07,55
2007-08,30
2007-09,32
2007-10,42
2007-11,20
2007-12,23
2007-13,28
2007-14,8
2007-15,19
2007-16,8
2007-17,42
2007-18,33
2007-19,71
2007-20,24
2007-21,26
2007-22,28
2007-23,18
2007-24,31
2007-25,20
2007-26,11
2007-27,18
2007-28,46
2007-29,96
2007-30,27
2007-31,32
2007-32,31
2007-33,19
2007-34,40
2007-35,18
2007-36,5
2007-37,36
2007-38,22
2007-39,24
2007-40,25
2007-41,65
2007-42,73
2007-43,58
2007-44,43
2007-45,31
2007-46,23
2007-47,16
2007-48,38
2007-49,34
2007-50,14
2007-51,38
2007-52,7
2008-01,11
2008-02,27
2008-03,21
2008-04,36
2008-05,54
2008-06,97
2008-07,31
2008-08,39
2008-09,28
2008-10,45
2008-11,32
2008-12,37
2008-13,39
2008-14,32
2008-15,18
2008-16,52
2008-17,89
2008-18,79
2008-19,37
2008-20,40
2008-21,49
2008-22,23
2008-23,27
2008-24,41
2008-25,61
2008-26,57
2008-27,49
2008-28,72
2008-29,118
2008-30,114
2008-31,74
2008-32,47
2008-33,69
2008-34,45
2008-35,54
2008-36,55
2008-37,55
2008-38,28
2008-39,35
2008-40,36
2008-41,99
2008-42,85
2008-43,123
2008-44,81
2008-45,53
2008-46,73
2008-47,56
2008-48,53
2008-49,60
2008-50,41
2008-51,71
2008-52,66
2009-01,68
2009-02,132
2009-03,76
2009-04,32
2009-05,77
2009-06,77
2009-07,87
2009-08,75
2009-09,74
2009-10,75
2009-11,81
2009-12,56
2009-13,132
2009-14,122
2009-15,82
2009-16,78
2009-17,76
2009-18,51
2009-19,60
2009-20,56
2009-21,48
2009-22,54
2009-23,39
2009-24,166
2009-25,108
2009-26,73
2009-27,58
2009-28,51
2009-29,37
2009-30,43
2009-31,63
2009-32,57
2009-33,65
2009-34,48
2009-35,47
2009-36,45
2009-37,81
2009-38,120
2009-39,106
2009-40,41
2009-41,60
2009-42,71
2009-43,14
2009-44,50
2009-45,62
2009-46,53
2009-47,50
2009-48,24
2009-49,106
2009-50,129
2009-51,122
2009-52,62
2009-53,33
2010-01,50
2010-02,52
2010-03,66
2010-04,45
2010-05,52
2010-06,55
2010-07,55
2010-08,107
2010-09,119
2010-10,54
2010-11,49
2010-12,44
2010-13,46
2010-14,53
2010-15,53
2010-16,61
2010-17,42
2010-18,62
2010-19,67
2010-20,170
2010-21,90
2010-22,70
2010-23,48
2010-24,22
2010-25,32
2010-26,44
2010-27,29
2010-28,26
2010-29,46
2010-30,48
2010-31,152
2010-32,114
2010-33,51
2010-34,62
2010-35,14
2010-36,62
2010-37,42
2010-38,55
2010-39,50
2010-40,69
2010-41,55
2010-42,135
2010-43,152
2010-44,30
2010-45,55
2010-46,59
2010-47,66
2010-48,75
2010-49,50
2010-50,88
2010-51,67
2010-52,30
2011-01,94
2011-02,179
2011-03,69
2011-04,66
2011-05,72
2011-06,58
2011-07,76
2011-08,66
2011-09,65
2011-10,79
2011-11,165
2011-12,104
2011-13,59
2011-14,56
2011-15,43
2011-16,62
2011-17,44
2011-18,50
2011-19,68
2011-20,115
2011-21,175
2011-22,34
2011-23,87
2011-24,64
2011-25,60
2011-26,66
2011-27,77
2011-28,60
2011-29,114
2011-30,90
2011-31,74
2011-32,61
2011-33,48
2011-34,61
2011-35,34
2011-36,31
2011-37,49
2011-38,62
2011-39,47
2011-40,54
2011-41,27
2011-42,46
2011-43,107
2011-44,131
2011-45,63
2011-46,50
2011-47,84
2011-48,63
2011-49,91
2011-50,95
2011-51,89
2011-52,52
2012-01,91
2012-02,139
2012-03,65
2012-04,70
2012-05,59
2012-06,73
2012-07,58
2012-08,67
2012-09,110
2012-10,98
2012-11,112
2012-12,147
2012-13,128
2012-14,62
2012-15,78
2012-16,69
2012-17,66
2012-18,65
2012-19,153
2012-20,109
2012-21,161
2012-22,74
2012-23,61
2012-24,79
2012-25,79
2012-26,88
2012-27,103
2012-28,125
2012-29,127
2012-30,118
2012-31,102
2012-32,33
2012-33,55
2012-34,93
2012-35,31
2012-36,75
2012-37,133
2012-38,139
2012-39,108
2012-40,160
2012-41,133
2012-42,89
2012-43,99
2012-44,54
2012-45,87
2012-46,144
2012-47,166
2012-48,173
2012-49,54
2012-50,225
2012-51,82
2012-52,13
2013-01,33
2013-02,76
2013-03,79
2013-04,121
2013-05,117
2013-06,126
2013-07,154
2013-08,156
2013-09,100
2013-10,71
2013-11,76
2013-12,98
2013-13,97
2013-14,96
2013-15,211
2013-16,106
2013-17,116
2013-18,155
2013-19,99
2013-20,53
2013-21,78
2013-22,92
2013-23,86
2013-24,137
2013-25,170
2013-26,159
2013-27,143
2013-28,94
2013-29,56
2013-30,74
2013-31,83
2013-32,70
2013-33,95
2013-34,157
2013-35,187
2013-36,131
2013-37,102
2013-38,61
2013-39,96
2013-40,92
2013-41,100
2013-42,119
2013-43,185
2013-44,120
2013-45,142
2013-46,157
2013-47,94
2013-48,71
2013-49,99
2013-50,108
2013-51,150
2013-52,66
2014-01,89
2014-02,89
2014-03,123
2014-04,156
2014-05,109
2014-06,59
2014-07,83
2014-08,139
2014-09,126
2014-10,115
2014-11,124
2014-12,150
2014-13,97
2014-14,162
2014-15,87
2014-16,77
2014-17,91
2014-18,70
2014-19,93
2014-20,102
2014-21,205
2014-22,122
2014-23,204
2014-24,114
2014-25,68
2014-26,73
2014-27,67
2014-28,140
2014-29,148
2014-30,130
2014-31,80
2014-32,192
2014-33,74
2014-34,55
2014-35,77
2014-36,111
2014-37,116
2014-38,81
2014-39,166
2014-40,125
2014-41,139
2014-42,95
2014-43,70
2014-44,99
2014-45,110
2014-46,106
2014-47,170
2014-48,108
2014-49,80
2014-50,224
2014-51,103
2014-52,31
2015-01,48
2015-02,70
2015-03,104
2015-04,145
2015-05,137
2015-06,154
2015-07,151
2015-08,106
2015-09,73
2015-10,135
2015-11,112
2015-12,103
2015-13,117
2015-14,134
2015-15,133
2015-16,169
2015-17,90
2015-18,54
2015-19,91
2015-20,114
2015-21,97
2015-22,95
2015-23,115
2015-24,96
2015-25,85
2015-26,191
2015-27,78
2015-28,62
2015-29,90
2015-30,104
2015-31,111
2015-32,93
2015-33,103
2015-34,117
2015-35,103
2015-36,159
2015-37,86
2015-38,69
2015-39,107
2015-40,88
2015-41,126
2015-42,134
2015-43,132
2015-44,103
2015-45,171
2015-46,97
2015-47,67
2015-48,78
2015-49,87
2015-50,109
2015-51,122
2015-52,141
2015-53,47
2016-01,103
2016-02,201
2016-03,91
2016-04,70
2016-05,70
2016-06,115
2016-07,121
2016-08,157
2016-09,167
2016-10,143
2016-11,185
2016-12,83
2016-13,55
2016-14,88
2016-15,129
2016-16,100
2016-17,160
2016-18,123
2016-19,186
2016-20,205
2016-21,115
2016-22,56
2016-23,101
2016-24,128
2016-25,83
2016-26,115
2016-27,158
2016-28,114
2016-29,115
2016-30,168
2016-31,103
2016-32,80
2016-33,93
2016-34,95
2016-35,99
2016-36,107
2016-37,157
2016-38,134
2016-39,113
2016-40,171
2016-41,100
2016-42,86
2016-43,105
2016-44,76
2016-45,115
2016-46,191
2016-47,98
2016-48,140
2016-49,93
2016-50,263
2016-51,57
2016-52,21
2017-01,85
2017-02,102
2017-03,113
2017-04,175
2017-05,122
2017-06,141
2017-07,125
2017-08,184
2017-09,98
2017-10,93
2017-11,76
2017-12,124
2017-13,130
2017-14,121
2017-15,109
2017-16,152
2017-17,146
2017-18,146
2017-19,96
2017-20,84
2017-21,85
2017-22,101
2017-23,101
2017-24,195
2017-25,130
2017-26,98
2017-27,253
2017-28,98
2017-29,76
2017-30,93
2017-31,96
2017-32,103
2017-33,181
2017-34,147
2017-35,167
2017-36,219
2017-37,67
2017-38,80
2017-39,92
2017-40,94
2017-41,124
2017-42,172
2017-43,114
2017-44,170
2017-45,134
2017-46,262
2017-47,59
2017-48,111
2017-49,111
2017-50,104
2017-51,134
2017-52,53
2018-01,156
2018-02,156
2018-03,148
2018-04,133
2018-05,200
2018-06,95
2018-07,80
2018-08,80
2018-09,121
2018-10,130
2018-11,128
2018-12,124
2018-13,236
2018-14,186
2018-15,108
2018-16,69
2018-17,115
2018-18,91
2018-19,83
2018-20,177
2018-21,154
2018-22,99
2018-23,249
2018-24,83
2018-25,77
2018-26,104
2018-27,101
2018-28,122
2018-29,139
2018-30,124
2018-31,108
2018-32,80
2018-33,200
2018-34,108
2018-35,70
2018-36,69
2018-37,74
2018-38,95
2018-39,128
2018-40,174
2018-41,114
2018-42,142
2018-43,157
2018-44,105
2018-45,94
2018-46,74
2018-47,79
2018-48,134
2018-49,129
2018-50,178
2018-51,139
2018-52,106
2019-01,122
2019-02,63
2019-03,85
2019-04,103
2019-05,124
2019-06,117
2019-07,206
2019-08,135
2019-09,85
2019-10,184
2019-11,105
2019-12,86
2019-13,91
2019-14,85
2019-15,97
2019-16,89
2019-17,174
2019-18,111
2019-19,190
2019-20,137
2019-21,78
2019-22,97
2019-23,99
2019-24,105
2019-25,128
2019-26,175
2019-27,116
2019-28,211
2019-29,102
2019-30,82
2019-31,94
2019-32,105
2019-33,116
2019-34,97
2019-35,105
2019-36,177
2019-37,70
2019-38,176
2019-39,98
2019-40,67
2019-41,82
2019-42,80
2019-43,140
2019-44,140
2019-45,156
2019-46,139
2019-47,95
2019-48,199
2019-49,107
2019-50,87
2019-51,115
2019-52,42
2020-01,50
2020-02,130
2020-03,159
2020-04,123
2020-05,191
2020-06,105
2020-07,70
2020-08,76
2020-09,102
2020-10,118
2020-11,132
2020-12,103
2020-13,207
2020-14,209
2020-15,90
2020-16,84
2020-17,118
2020-18,111
2020-19,102
2020-20,139
2020-21,170
2020-22,180
2020-23,229
2020-24,111
2020-25,93
2020-26,140
2020-27,128
2020-28,117
2020-29,130
2020-30,183
2020-31,134
2020-32,218
2020-33,86
2020-34,91
2020-35,93
2020-36,88
2020-37,130
2020-38,115
2020-39,166
2020-40,166
2020-41,94
2020-42,181
2020-43,125
2020-44,101
2020-45,102
2020-46,123
2020-47,131
2020-48,153
2020-49,120
2020-50,184
2020-51,235
2020-52,51
2020-53,26
2021-01,101
2021-02,110
2021-03,120
2021-04,135
2021-05,153
2021-06,187
2021-07,125
2021-08,189
2021-09,64
2021-10,108
2021-11,124
2021-12,96
2021-13,145
2021-14,162
2021-15,129
2021-16,91
2021-17,188
2021-18,106
2021-19,84
2021-20,99
2021-21,86
2021-22,104
2021-23,173
2021-24,132
2021-25,158
2021-26,182
2021-27,118
2021-28,67
2021-29,91
2021-30,87
2021-31,106
2021-32,130
2021-33,148
2021-34,130
2021-35,215
2021-36,98
2021-37,72
2021-38,77
2021-39,87
2021-40,126
2021-41,139
2021-42,159
2021-43,174
2021-44,220
2021-45,118
2021-46,98
2021-47,101
2021-48,72
2021-49,108
2021-50,175
2021-51,107
2021-52,68
2022-01,92
2022-02,206
2022-03,97
2022-04,111
2022-05,102
2022-06,127
2022-07,104
2022-08,154
2022-09,144
2022-10,146
2022-11,114
2022-12,198
2022-13,108
2022-14,99
2022-15,101
2022-16,92
2022-17,110
2022-18,165
2022-19,131
2022-20,146
2022-21,227
2022-22,119
2022-23,98
2022-24,100
2022-25,101
2022-26,119
2022-27,121
2022-28,183
2022-29,106
2022-30,120
2022-31,215
2022-32,90
2022-33,75
2022-34,107
2022-35,106
2022-36,94
2022-37,68
2022-38,190
2022-39,146
2022-40,193
2022-41,128
2022-42,94
2022-43,123
2022-44,93
2022-45,100
2022-46,125
2022-47,184
2022-48,132
2022-49,161
2022-50,239
2022-51,75
2022-52,53
2023-01,61
2023-02,115
2023-03,132
2023-04,128
2023-05,176
2023-06,125
2023-07,138
2023-08,232
2023-09,82
2023-10,91
2023-11,123
2023-12,121
2023-13,123
2023-14,116
2023-15,167
2023-16,151
2023-17,205
2023-18,86
2023-19,68
2023-20,88
2023-21,112
2023-22,98
2023-23,147
2023-24,113
2023-25,165
2023-26,233
2023-27,99
2023-28,78
2023-29,111
2023-30,118
2023-31,101
2023-32,152
2023-33,140
2023-34,150
2023-35,228
2023-36,92
2023-37,121
2023-38,86
2023-39,82
2023-40,111
2023-41,142
2023-42,167
2023-43,157
2023-44,231
2023-45,77
2023-46,85
2023-47,74
2023-48,84
2023-49,147
2023-50,135
2023-51,163
2023-52,25
2024-01,117
2024-02,181
2024-03,136
2024-04,102
2024-05,109
2024-06,103
2024-07,118
2024-08,123
2024-09,155
2024-10,176
2024-11,249
2024-12,105
2024-13,117
2024-14,117
2024-15,127
2024-16,97
2024-17,140
2024-18,182
2024-19,139
2024-20,225
2024-21,108
2024-22,93
2024-23,100
2024-24,93
2024-25,134
2024-26,134
2024-27,139
2024-28,190
2024-29,245
2024-30,98
2024-31,54
2024-32,54
2024-33,64
2024-34,47
2024-35,63
2024-36,60
