ISO Week,Commits/week
2017-35,4
2017-36,5
2017-37,13
2017-38,8
2017-39,7
2017-40,0
2017-41,1
2017-42,0
2017-43,0
2017-44,0
2017-45,0
2017-46,1
2017-47,0
2017-48,0
2017-49,0
2017-50,0
2017-51,0
2017-52,0
2018-01,0
2018-02,0
2018-03,4
2018-04,1
2018-05,0
2018-06,0
2018-07,0
2018-08,0
2018-09,0
2018-10,7
2018-11,1
2018-12,6
2018-13,0
2018-14,17
2018-15,260
2018-16,178
2018-17,276
2018-18,221
2018-19,250
2018-20,316
2018-21,362
2018-22,316
2018-23,271
2018-24,305
2018-25,241
2018-26,288
2018-27,224
2018-28,282
2018-29,228
2018-30,225
2018-31,213
2018-32,230
2018-33,226
2018-34,231
2018-35,262
2018-36,207
2018-37,243
2018-38,232
2018-39,256
2018-40,263
2018-41,265
2018-42,259
2018-43,273
2018-44,264
2018-45,287
2018-46,289
2018-47,188
2018-48,408
2018-49,341
2018-50,322
2018-51,296
2018-52,66
2019-01,123
2019-02,421
2019-03,341
2019-04,317
2019-05,372
2019-06,330
2019-07,371
2019-08,351
2019-09,428
2019-10,394
2019-11,410
2019-12,432
2019-13,417
2019-14,480
2019-15,265
2019-16,347
2019-17,314
2019-18,330
2019-19,379
2019-20,363
2019-21,381
2019-22,366
2019-23,362
2019-24,323
2019-25,367
2019-26,356
2019-27,318
2019-28,414
2019-29,370
2019-30,409
2019-31,349
2019-32,333
2019-33,416
2019-34,433
2019-35,417
2019-36,389
2019-37,370
2019-38,304
2019-39,402
2019-40,406
2019-41,472
2019-42,387
2019-43,285
2019-44,359
2019-45,350
2019-46,257
2019-47,370
2019-48,357
2019-49,428
2019-50,376
2019-51,393
2019-52,69
2020-01,148
2020-02,363
2020-03,431
2020-04,346
2020-05,430
2020-06,345
2020-07,392
2020-08,362
2020-09,306
2020-10,359
2020-11,442
2020-12,367
2020-13,317
2020-14,410
2020-15,332
2020-16,378
2020-17,439
2020-18,386
2020-19,343
2020-20,403
2020-21,294
2020-22,372
2020-23,423
2020-24,409
2020-25,347
2020-26,451
2020-27,250
2020-28,390
2020-29,341
2020-30,286
2020-31,311
2020-32,342
2020-33,344
2020-34,384
2020-35,332
2020-36,250
2020-37,275
2020-38,312
2020-39,336
2020-40,379
2020-41,326
2020-42,302
2020-43,313
2020-44,356
2020-45,290
2020-46,320
2020-47,348
2020-48,248
2020-49,349
2020-50,364
2020-51,291
2020-52,85
2020-53,38
2021-01,222
2021-02,334
2021-03,301
2021-04,334
2021-05,332
2021-06,367
2021-07,321
2021-08,332
2021-09,330
2021-10,314
2021-11,303
2021-12,258
2021-13,279
2021-14,259
2021-15,336
2021-16,368
2021-17,313
2021-18,313
2021-19,311
2021-20,305
2021-21,215
2021-22,290
2021-23,323
2021-24,317
2021-25,292
2021-26,276
2021-27,244
2021-28,309
2021-29,249
2021-30,246
2021-31,329
2021-32,373
2021-33,318
2021-34,310
2021-35,268
2021-36,259
2021-37,285
2021-38,235
2021-39,278
2021-40,258
2021-41,240
2021-42,234
2021-43,305
2021-44,321
2021-45,291
2021-46,331
2021-47,239
2021-48,360
2021-49,248
2021-50,212
2021-51,114
2021-52,42
2022-01,177
2022-02,301
2022-03,281
2022-04,301
2022-05,301
2022-06,272
2022-07,287
2022-08,241
2022-09,249
2022-10,285
2022-11,315
2022-12,273
2022-13,330
2022-14,335
2022-15,301
2022-16,301
2022-17,330
2022-18,249
2022-19,245
2022-20,287
2022-21,247
2022-22,221
2022-23,252
2022-24,257
2022-25,234
2022-26,267
2022-27,233
2022-28,307
2022-29,292
2022-30,263
2022-31,262
2022-32,317
2022-33,283
2022-34,305
2022-35,301
2022-36,269
2022-37,280
2022-38,239
2022-39,301
2022-40,246
2022-41,314
2022-42,323
2022-43,327
2022-44,322
2022-45,321
2022-46,312
2022-47,273
2022-48,347
2022-49,289
2022-50,318
2022-51,171
2022-52,61
2023-01,176
2023-02,313
2023-03,277
2023-04,335
2023-05,294
2023-06,279
2023-07,315
2023-08,227
2023-09,312
2023-10,347
2023-11,292
2023-12,297
2023-13,322
2023-14,317
2023-15,300
2023-16,298
2023-17,280
2023-18,222
2023-19,279
2023-20,326
2023-21,337
2023-22,327
2023-23,307
2023-24,289
2023-25,334
2023-26,276
2023-27,225
2023-28,346
2023-29,216
2023-30,228
2023-31,276
2023-32,265
2023-33,271
2023-34,244
2023-35,262
2023-36,280
2023-37,279
2023-38,308
2023-39,287
2023-40,294
2023-41,325
2023-42,357
2023-43,346
2023-44,276
2023-45,353
2023-46,330
2023-47,278
2023-48,388
2023-49,306
2023-50,323
2023-51,227
2023-52,40
2024-01,143
2024-02,266
2024-03,292
2024-04,331
2024-05,327
2024-06,294
2024-07,296
2024-08,297
2024-09,310
2024-10,367
2024-11,301
2024-12,361
2024-13,322
2024-14,313
2024-15,323
2024-16,335
2024-17,325
2024-18,272
2024-19,270
2024-20,342
2024-21,261
2024-22,265
2024-23,301
2024-24,253
2024-25,235
2024-26,262
2024-27,234
2024-28,269
2024-29,301
2024-30,262
2024-31,259
2024-32,303
2024-33,307
2024-34,299
2024-35,367
2024-36,317
2024-37,295
